answers,question
"[' My name is Keith.', ' My Name is Sean.', ' My name is Marcus.', ' My name is Sarah.', ' My name is Margery.', ' My name is Adonis.', ' My Name is Casca.', ' My Name is Paul.', ' My name is Abigail.', ' My Name is ZERO.', ' My name is Hilario.', "" I'm from the Midwest."", ' My name is Sam.', ' My real name is <|startoftext|>I like you guys.', ' My name is William.', ' My name is Sarah.', ' My name is Paul.', "" I'm David."", ' My Name is Ulrich.', ' My Name is Sam.']","My name is <wild>, what is your name?"
"[' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.']",What's your name?
"["" hi, I'm Paul.''|endoftext|>\n<|startoftext|>Where are you from? I'm from the Northeast."", "" hi, I'm Peter."", "" hi, I'm Stephen, my name is Kyle, my name is Jamil, my name is maybe."", "" hi, I'm Ian."", ' My Name is Paul.', "" hi, I'm Paul."", "" hi, I'm David."", ' My Name is Paul.', ' Ian.', "" hi, I'm Paul.''|endoftext|>\n<|startoftext|>Where do you live? I live in Alabama."", ' My Name is Paul.', "" hi, I'm Paul."", "" hi, I'm David."", "" hi, I'm Paul."", "" hi, I'm Peter."", "" hi, I'm Peter."", "" hi, I'm Robert</|endoftext|>\n<|startoftext|>Where are you from? oh, I'm from the Northeast."", "" hi, I'm Peter."", "" hi, I'm Kevin.</|endoftext|>\n<|startoftext|>Where do you live? I live in Alabama."", ' My Name is Paul.']","Hello, what is your name?"
"[' Ian.', "" John. I don't remember; it's pretty weird. I think it's Linda. I'm from South Carolina."", ' Ian.', ' Ian.', "" John. I don't remember; it's probably something close to my brother's."", ' John.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.', ' Ian.']",What is your first name?
"[' I grew up in Brooklyn, so I am a big New Yorker.', "" I've been doing this for a few years, and it was really fun."", ' i live in the southern half of Ohio.', "" I'm from the southeast."", ' I grew up in Guatemala.', ' i live in the city of Boston, which I appreciate.', "" I'm a junior at the college around my house from school, so I'm in the 60s."", "" I grew up in Guatemala, which means I'm the son."", "" I've been doing this for a few years, I went to high school, I got a job as a waitress and apartment clerk."", ' i live in the heart of the city with its its roughly in the 40s and 50s percentile.', ""<|startoftext|>Can you tell me a few things about yourself? I grew up in Guatemala, which I have since I was 8. My dad is a teacher, so he is my age. I was a kid myself, so I'm pretty typical. I'm"", "" i'm from the southeast."", ' I grew up in Brooklyn, so I am actually in Pennsylvania.', ' I grew up in Guatemala.', ' I grew up in Guatemala.', ' i live in the city of newton.', "" i live in the city of Austin, I live in the US'"", ' i live in the midwest,', "" I've been obsessed with finding out what exactly is Project Rokugan and how it relates to my studies."", ""<|startoftext|>Can you tell me a few things about yourself? I've been obsessed with astronomy for a long time, How might you explain that? Being an astrophysicist is really difficult, I've had people ask how I knew how to read--how do""]",Can you tell me a few things about yourself?
"["" I'm from the US."", "" I'm from the US."", "" I'm from the US."", ' I am from the US.', "" I'm from the US."", "" I'm from the US."", ' Argentina.', "" I'm from the US."", "" I'm from the US."", "" I'm from the US, around the southern US."", ' I am from the US.', "" I'm from the US."", ' I am from the US.', ' I am from the US', ' I am from the US', ' I am from the US.', ' I am from the US.', "" I'm from the US."", "" I'm from the US."", "" I'm from the US.""]",What part of the world are you from?
"["" I'm in New England, not in Pennsylvania."", ' I live in the Northeast.', ' I am in Pennsylvania.', ' I live in the southern part of Ohio.', "" I'm in Pennsylvania."", ' I live in the southern part of the state.', ' I live in the southeast.', ' I live in the Northeast.', ' I live in the southern part of the country.', ' New England, I live in the southern part of the state.', ' I am in Pennsylvania.', "" I'm in Pennsylvania."", "" I'm in the southern half of Ohio."", ' In some places I live in the Northeast.', ' I live in the Northeast.', ' I live in the Northeast.', "" I'm in Pennsylvania."", ' I live in the southern part of Ohio.', ' I live in the southern part of the country.', "" I'm in New England, not Boston.""]",What part of the country do you live in?
"[' I live in Alabama.', ' I live in the southern part of Ohio.', ' I live in the Midwest.', ' I live in the Midwest.', ' I live in Alabama.', ' I live in the Midwest.', ' I live in the Midwest.', ' I live in Alabama.', ' I live in the Midwest.', ' I live in the Midwest.', ' I live in Alabama.', ' I live in the Midwest.', ' I live in the southern part of England.', ' I live in Alabama.', ' I live in the Midwest.', ' I live in the Midwest.', ' I live in the Midwest.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.']",Where are you living?
"[' I have two kids.', ' Yeah, I have two grown kids.', ' Yeah, I have three kids.', ' Yeah, I have three kids.', ' Yeah, I have three kids.', ' Yeah, I have three grown kids.', ' Yeah, I have three grown kids.', ' Yeah, I have three kids.', ' Yeah, I have three grown kids.', ' Yeah, I have three kids.', ' Yeah, I have three kids.', ' Yeah, I have two grown kids.', ' Yes, I have a wife and 2 kids.', ' Yeah, I have three kids.', ' Yeah, I have three kids.', ' Yeah, I have three grown kids.', ' Yeah, I have three kids.', ' Yeah, I have three grown kids.', "" No, I don't have a family."", ' Yeah, I have two grown kids.']",Do you have a family?
"[' Yep, three.', ' Yeah, I have three grown kids.', ' No kids of my own.\n\nWhat kind of music do you like? I like all types of music, most recently of all 80s punk rock.', ' Yep, I have three. ', ' I have two grown kids.', ' Yep, my dad has two sons.', ' No kids. College is not an option for me.', ' No kids.\n\nWhat do you do for fun? I like to play sports at the track and in the park while watching movies.', "" No kids.\n\nWhat's your favorite kind of food? Myfavre (fried & savory food)."", ""<|startoftext|>do you have any kids? Yep, I have three.</|endoftext|>\n<|startoftext|>Do you have any animals? No I don't have pets but I have a dog who is her"", ' No kids. American, but he does like to watch a movie.', ' Yep, I have two grown kids.', ' Yep, I have two grown kids.', ' Yep, all of them.', ' No kids, but I do have a 3rd child.', "" Nope, don't have any kids."", ' Yep, I have two grown kids.', ' No kids.', ' Yep, one of my kids is 23.', ' No kids but I have a cat and 2 dogs']",do you have any kids?
"[' Yep, are having another baby today.', ' No.', ' I have two grown kids.', ' I have two grown kids.', ' Not right now.', ' I have two grown kids.', ' Granddaughters are 19, 17 and 15 and nephews are 14 and 11.', ' I have two grown kids.', ' Granddaughters are 19, 17 and 15 and nephews are 14 and 11.', ' Granddaughters are 19, 17 and 15 and nephews are 14 and 11.', ' Yeah, I have a little girl.', ' I have two grown kids.', ' I have two grown kids.', ' I have three grown kids.', ' We have two grown kids.', ' Yeah, I have three grown kids.', ' I have two grown kids.', ' I have two grown kids.', ' Yes, but I have three grown kids.', ' Granddaughters are 19, 17 and 15 and nephews are 14 and 11.']",Do you have kids?
"[' I have 2 kids.', ' I have 4 kids.', ' I have 2 kids.', ' I have two kids.', '<|startoftext|>how many kids do you have? My daughter is like my daughter||endoftext|\n<|startoftext|>Do you go to school twice a week? I do..sometimes I visit my mom but not often', ' I have 2 kids.', ' Oh wow, I have 8 kids', "" Wow, I've got 8 little kids!"", ' Wow, I have 2 kids.', ' I have 2 kids.', ' I have 2 kids', ' Oh, I have 2 kids.', ' I have 4 kids.', ' I have 2 kids.', ' I have 4 kids.', ' I have 2 kids.', ' I have 2 kids.', ' I have 2 kids.', ' My daughter is like age 9, so probably 5.2, her brother is like age 7, so maybe 8. Both of my siblings are like that.', ' I have 2 kids.']",how many kids do you have?
"[' I have a daughter.', "" I have two grown kids and my age is not age-t, so I'm in my mid-30s."", "" I'm doing okay."", "" I was nine, I'm sitting here typing this now, I have my brother and sister waiting for me, so we're about to get to the last word."", ' I have two grown kids and 2 minor kids.', ' I have three grown kids.', ' I have a daughter.', "" Dad is going to be y'all. "", ' My dad is a rat catcher so my mom is a geese keeper.', ' Dad and I go to see Red Bull once or twice a month.', "" I'm not a fan of any kids."", ' I have two grown kids and my age is not that different than age.', "" I was twins chow, but since I'm in my mid-20s, I had grown up and I liked watching movies."", ' I have two grown kids and 2 to play.', ' Kind of old ladies.', ' My dad is a senior at the college and my mom is a junior).', ' I was three, so my age.', "" I'm doing my junior year so I have three grown kids."", "" I'm on my own."", ' I have three grown sons.']",Any kids?
"[' Yes, as of this posting.', "" No, I don't have any children."", ' No, but I have three grown kids.', ' I have 3 boys.', ' Yeah, I have three. ', ' No, not really.', ' I have three. ', "" No, I don't have any children."", ""<|startoftext|>Do you have any children? I have three.</|endoftext|>\n<|startoftext|>What are your favorite movies? I've been dying to know what is up with that.<|endoftext"", ' I have 3 boys.', ""<|startoftext|>Do you have any children? No, but I have had people asking if I have any children. I don't have any children; I have a wonderful wife, family, and job. But I have had people tell me about"", ' No, not really.', ' Yes, but I have two grown kids.', "" No, I don't have any children."", ' No children but I have 3 boys.', "" No, I don't have any children."", ' No, not really.', "" No, I don't have any children."", "" No, I don't have any children."", "" No, I don't have any children.""]",Do you have any children?
"[' My daughter is 14 and my son is 7.', ' They are 7 and 9, respectively.', ' They are 14 and 15.', ' They are 9 and 9, and 9 and 9, respectively.', ' My daughter is 14 and my son is 7.', "" They're 14, 12 & 12."", ' My daughter is 10 and my son is 7.', ' They are just six and six.', ' My two oldest are 10 and 9 and my son is 9. My daughter is doing grad school right now and my son is working for a big company.', ' My daughter is 14 and my son is 7.', ' They are 14 and 9, and 9 and 9.', ' They are ten and six.', ' They are 19, 12, and 9 and is they good? they are doing okay.', ' My daughter is 14 and my son is 7.', ' My daughter is 14 and her son is 7.', ' My daughter is 14 and my son is 7.', ' They are 14 and 15.', ' My wife and I are both 25 years and older.', "" They're 15 and 16."", ""<|startoftext|>What ages are your children? My daughter is 14, up to college age her junior and senior year she's doing pretty well My son is 7 and my daughter is 9 My son is from st. Paul, MN I have no""]",What ages are your children?
"[' Definitely.', ' Yes, I am thinking of having more children.', ' Yeah, I have a daughter and a son who will be travelling to Europe in summer.', ' I might have a child.', ' Yes, I am going to have a baby.', "" Yeah, I'm actually kind of scared of children nowadays, but I'll look it up."", ' Yeah, hopefully I have quite a few as well.', "" Yeah, I'm 31."", "" Yeah, if I don't have to worry about kids."", ' Yeah, are kids.', "" Yeah, I'm 31 so I'll have my children. "", ' Yes, probably my two most childrens.', ' I have a daughter and great-grandfather-abendings.', ' Yeah, will probably have to get pregnant.', ' I have quite a bit of time planned for this wedding.', "" Yeah, I'm 55, I have three grown children and I have a job to go to."", ' I might have a child.', ' Probably not anymore than I did.', "" Yeah, I'm not sure."", ' Yeah I am hoping to have children.']",Do you plan to have children at any point?
"[' My daughter is 14 and my son is 7.', ' My daughter is 14 and my son is 7.', ' My daughter is 14 and my son is 7.', "" My daughter is 14. How old are your two boys? He's 12 and 11."", "" My daughter is 14. Age isn't a problem for me, I have her as a sister."", ' My daughter is 14 years old.', '<|startoftext|>How old are your children? My daughter is 14. Age group breakdown Age Group Age Relevance Hunger<|\\/endoftext|>\n<|startoftext|>Do you live near a city or were you', ' My daughter is 14 years old.', ' My daughter is 14. How old are yours? My daughter is 14. Are you in college? Yes, she is.', ' My daughter is 14 years old.', ' My daughter is 14 years old.', ' My daughter is 14 and her husband is 25. How old are your two sons? his 15 and his 15-17.', ' My daughter is 14 years old.', "" My daughter is 14. Age is a numbers game and I feel like I'm overbearing her."", ' My daughter is 14 and my son is 7.', ' My daughter is 14 years old.', ' My daughter is 14 years old.', ' My daughter is 14 and her husband is 25. Age is not an issue for me.', ' My daughter is 14 and my son is 7.', ' My daughter is 14. Ageing is a lot later then me.']",How old are your children?
"['', "" I'm not sure."", ' ', "" I'm not sure how I would handle children."", "" I'm not sure."", "" I don't think I'll ever have any children."", ' ', "" She is with Children's Hospital of Philadelphia now, and going through an OCSR later this month."", "" I don't really have any kids. But I do like to watch a few movies."", "" I'm not sure."", "" I'm a big girl and I feel like I have a daughterbody."", ' No, but I want children.', ' Yeah I think so.', "" No, I don't want a child."", ' ', "" I don't currently have any children, but I do want to make sure to raise them well."", "" I don't mind if my children are around me at all."", ' ', "" I don't actually have any kids but I do have a wife and 2 kids."", ' Yeah I want a healthy baby.']",Do you want children?
"[' Yes, a baby geese and a guinea pig.', ' My pets are like my children. ', ' My pets are like my children. ', ' My pets are like my children. ', ' Yes, a rat and a rattycat.', ' My dog is an abalone.', ' My pets are like my children. ', ' My pets are like my children. ', ' My dog is a German Shepherd named Tilron. We have a golden retriever and a minke named for him.', ' My pets are like my children. ', ' My pets are like my children. ', '<|startoftext|>Do you have any animals? I have an animal (dog).>\n<|url=http://thehuffingtonpapers.com/animal-syndrome-and-manslaughter/?sounds like a pretty', ' Yes, three times over.', ' Yeah, a rat and mouse.', ' My pets are like my children. ', ' I have 3 dogs.', ' Yeah, three little kittens and a rat.', ' My pets are like my children. ', ' My pets are like my children. ', ' My pets are like my children. ']",Do you have any animals?
"[' No pets, I have 3 dogs', ' Yeah i have 2 dogs.', ' Yeah i have 3 dogs', ' Yeah i have 3 dogs', ' Yeah i have 3 dogs and 2 cats.', '<|startoftext|>Do you have any pets? No pets. We have 2 dogs, ages 8 and 9, who are both so scared of snakes our first thought was a prank, but the 2 day old is so cute when she sees it.<', ' Yeah i have 3 dogs.', "" No, I don't have any pets ."", ' Yeah i have 3 dogs.', ' Yeah i have 3 dogs.', ' Yeah, I have 3 dogs. ', ' Yeah i have 2 dogs.', "" No, I don't have any pets."", ' Yeah i have 2 dogs.', ' Yeah i have 3 dogs.', ' Yeah i have 3 dogs.', ' Yeah i have 3 dogs', ' No pets, but I have a dog and she is my everyday thing, so I love to pet her.\n', ' Yeah i have 2 dogs.', ' Yeah i have 3 dogs.']",Do you have any pets?
"[' Not really.', "" Yeah, I'm actually a dad to a 3 year old daughter."", "" Yeah, I'm actually a triplet so I have a brother and sister who are both my age."", "" Yeah, I'm actually a triplet so I have a brother and sister who are both my age."", ' No siblings.', ' Not currently.', "" Yeah I'm actually a triplet so I have a brother and sister who are both my age."", "" Yeah I'm actually a triplet so I have a brother and sister who are both my age."", ' Not currently.', ' No, not really.', '<|startoftext|>Do you have any siblings? No siblings.\n<|link href=""http://wapo.st/2hv4r?text=<|startoftext|>How\'s the weather by your count, Tom', "" Yeah, I'm actually a triplet so I have a brother and sister who are both my age."", "" Yeah, I'm actually a triplet so I have a brother and sister who are both my age."", ' No siblings.', "" Yeah, I'm his age."", "" Yeah, I'm actually a triplet so I have a brother and sister who are both my age."", "" No siblings. Kind of weird. I'm from the Midwest."", ' Not right now.', ' Not right now.', "" Yeah, I'm actually a triplet so I have a brother and sister who are both my age.""]",Do you have any siblings?
"[' No, but I have one great sister who is 14 years old.', ' No, but I have one brother.', "" No, but I have a sister who is 6'4, which is okay with me."", "" No, I don't have a sister."", ' Yes, I have a sister who lives with me.', ' No, but I have a brother.', "" I'm not really into fashion."", "" No, I don't have any sisters."", ' No, but I have one great aunt.', ' No, but I have a sister who is my age.', "" I'mond not a niece."", ' No, but I have a sister who is my age.', ' Yes, I have a sister who is 4 and my significant other was her age.', ' No, but I have a cousin.', ' No, not a chance.', "" No, I don't have a sister."", ' No, but I have a brother who is my age.', ' No, not a bad sister.', "" I've only had my sister, but she's a lesbian, so he or she is my whole family."", ' No, not a single sister.']",Do you have any sisters?
"["" Yeah, we're one. Just like him."", ' I have 2 very similar brothers.', ' A cousin.', ' Yeah, I have three brothers.', ' A brother and sister.', ' I have one sister.', ' Yeah I have a brother who is doing astronaut study so I have a brother who is doing astronomy.', ' Yeah, three.', ' Yeah, I have a brother who is doing this for free here at Harvard.', ' Not really.', ' Yeah I have a brother who is doing med school.', ' Yeah, I have three brothers.', "" Yeah, Dad has me so I've got a brother and a sister who are both my age."", ' Like me, he is from the Midwest.', ' Yeah, I have three brothers.', ' Yeah, I have three brothers.', ' Yeah, one is 4 and the other 2 is 3.', "" Yeah, I'm triplet girl."", ' A brother and a sister.', ' Yeah, I have one brother.']",Do you have any brothers?
"[' My daughter is 14 and my son is 7.', "" They're 14 and 15."", "" They're 14 and 15."", ' My daughter is 14. How old are yours? My daughter is 14.', "" They're 14 and 15."", ' My daughter is 14 years old.', ' My daughter is 14 and my son is 7.', ' My daughter is 14 years old.', ' My daughter is 14 years old.', ' My daughter is 14. How old are yours? My daughter is 14. Freaking hot.', ' My daughter is 14 and my son is 7.', ' My daughter is 14 years old.', ' My daughter is 14 years old.', "" They're 14 and 15."", ' My daughter is 14 and my son is 7.', ' My daughter is 14 years old.', ' My daughter is 14 and my son is 7.', ' My daughter is 14 and my son is 7.', '<|startoftext|>how old are your kids? My daughter is 14. How old are you? My daughter is 14. How old are your kids? My daughter is 14. How old are your kids? My daughter is 14 is 14.8', '<|startoftext|>how old are your kids? My daughter is 14. How old are yours? My daughter is 14. How old are yours? My daughter is 14. How old are yours? My daughter is 14. How old are yours?']",how old are your kids?
"[' Aww, I love cats. ', ' Aww, I love cats.', "" Aww, I'm the brunt of his ire, though."", ' Aww, I love cats.', ' Aww, I love cats.', "" Aww, I'm a proky dog."", ' Aww, I love cats.', ' Aww, I love cats.', "" Aww, I'm the worst guy around, "", ' Aww, I love cats.', "" Aww, I'm a kennel nurse."", ' Aww, I love cats.', ' Aww, I love cats.', "" Aww, I'm the worst fan!"", ' Aww, I love cats.', "" Aww, I have a rat and i'm taking him for a playdate."", "" Aww, I'm a lab cat guy."", ' Aww, I love cats.', ' Aww, I love cats.', ' Aww, I love cats. ']",Do you have dogs or cats?
"["" I'm not sure."", "" I'm not sure."", '', "" I'm not sure."", "" I'm not sure."", "" I'm not sure what I'd do with my life without children. I have two grown kids and a 2 year old. "", ' Well...probably not as much as I would like.', "" I'm not sure."", "" I don't have kids and am working on it."", "" I'm not sure."", "" I'm not sure."", "" I'm not sure."", ' Grandma wants me to be a mom.', "" I'm not sure."", "" I'm not sure."", "" I'm not sure."", "" I'm not sure what I want anymore."", ' ', "" I'm not sure how I'm going to deal with kids if I don't have kids."", "" I'm not sure why I want kids...probably it's the stress of not having a job anymore.""]",Do you want kids?
"["" I'm not married."", "" I'm not married."", ' Yes I am married here in Philadelphia.', "" I'm not married."", "" I am not married and I don't have any children."", "" I'm not married."", "" I'm not married and I don't have any kids."", "" No I'm not married."", ""<|startoftext|>Are you married? Yes, I married John S.''|endoftext|>\n<|startoftext|>What do you do for a living? I work in a retail store.<|endoftext"", "" Yes, I'm married here."", ' Yes I am married with a daughter and a son-in-law.', ' I am not married and do not have any children.', ' Yes I am married with children.', ' No, but since I was 15, I got a restraining order against me, which I used to keep secret from the rest of the family.', '<|startoftext|>Are you married? Yes I am married with one daughter and we are both very passionate about making sure our children are well enough to learn about and understood science and math, representation in media, science fiction, and fantasy,', "" No, I'm not married."", ' I am not married.', "" I'm not married."", "" No I'm not married."", ' Yes I am married with 4 kids.']",Are you married?
"[' I have three sons and daughter.', ' I have three sons and daughter.', ' Only one daughter.', ' Only one dad and his brother.', ' I have three grown kids.', ' none, none, none, none.', ' Most of my Christian friends have at least one of my Christian friends.', "" There's one my sister got from home."", ' I have three grown kids.', ' I have one daughter.', ' There are 2 boys and a girl.', ' I have two boys.', ' Only one dad and his brother. My dad is originally from Stow, but he has since relocated to Phoenix to work.', ' I have two sons and daughter.', '<|startoftext|>How many are in your family? Some are 4 and 2 years old. 2 are from around the age of 9 and the other was 11. The youngest child is 8 and she is my age she can tell me anything about any subject', ' A brother and sister.', ' Some are 8 and 6.', ' There is one my daughter has cerebral palsy.', ""<|startoftext|>How many are in your family? none major other than Jesus Christ I have had many people asking what I have been doing for the past 2 decades like job hunting, I don't have a computer, but I know how to program and"", ' Some are 14 and 15, 15 is 16 and 17.']",How many are in your family?
"[' I guess you would say city.', "" I guess you could say i'm in between."", ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you could say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.', ' I guess you would say city.']",Do you live in the city or country?
"["" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between."", "" I guess you could say i'm in between.""]",Do you live near a city or are you in the country?
"["" I'm from the Caribbean."", ' I am from South Australia, in Brisbane.', ' I am from Brazil.', ' I am from Brazil.', "" I'm from the Caribbean."", "" I'm from the UK."", ' I am from Brazil.', ' I am from Brazil.', ' I am from Brazil.', ' I am from Brazil.', "" I'm from the Caribbean."", "" I'm from the Caribbean."", "" I'm from the UK."", ' I am from South Africa.', "" I'm from the Netherlands."", ' I am from Brazil.', "" I'm from the Caribbean."", ' I am from Brazil.', "" I'm from Brazil."", "" I'm from Sweden.""]",What country are you from?
"[' I am in Jacksonville but went down to Tampa a few months ago for work, It was really nice there.', ' Very poor, actually.', ' I am in South East Texas.', ' I am in Jacksonville but went down to Tampa a few months ago for work, It was really nice there.', ' I am in Virginia.', ' I am in Jacksonville but went down to Tampa a few months ago for work, It was really nice there.', ' Very poor country.', ' I am in Jacksonville but went down to Tampa a few months ago for work, It was really nice there.', ' I am in the southern part of Virginia.', ' Very poor.', "" I'm in the southern part of Indiana."", ' I am in Virginia.', ' I am in the southern part of Illinois.', ' I am in Jacksonville but went down to Tampa a few months ago for work, It was really nice there.', ' I am in Jacksonville but went down to Tampa a few months ago for work, It was really nice there.', ' I am in Jacksonville but went down to Tampa a few months ago for work, It was really nice there.', ' I am in Jacksonville, Florida.', ' I am in Delaware but went back to home state for college, I am in New York.', ' I am in Jacksonville, Florida.', ' I am in Jacksonville but went down to Tampa a few months ago for work, It was really nice there.']",What part of the country are you in?
"[' No I am not married.', "" Yeah, I've been married for about 8 years now, and I have a daughter."", "" No, I'm not a married person."", "" I'm not married."", "" No, I'm not a married person."", "" I'm not."", "" Yeah..I think I'm a widow."", ' Yes, I am married, but that is not my style.', "" No.. I'm not married."", ' I am not.', ' Yes, I am married, but I feel guilty about it.', ' I am not.', "" I am not and I don't have any kids."", "" Yeah, I've been married for about 8 years now, and have a daughter who will be turning two."", ' I am not a married person.', ' Yes, I am married.', ' Yes, I am married, but I have a daughter.', "" Yeah, I'm not."", "" Yeah, I'm single."", ' No, I am not a married person.']",Are you a married person?
"[' I guess.', "" I'm in Europe, but not for the moment."", ' I guess.', ' I guess...kingdom USA.', ' pretty much.', ' I guess.', "" Really? It's a combination of Europe and North America."", ' I guess.', ' I guess.', ' I guess.', ' I guess.', ' I guess.', ' I guess.', ' I guess.', ' I guess.', ' I guess.', ' I guess.', ' I guess.', ' literally.', ' Latin America.']",which is ur home country?
"[' I am from the US.', "" I'm from the US."", "" I'm from the US"", "" I'm from the US."", ' I am from the US.', ' I am from the US.', "" I'm from the US."", "" I'm from the US."", ' I am from the US.', "" I'm from the US."", ' I am from the US.', "" I'm from the US"", "" I'm from the US."", "" I'm from the US."", "" I'm from the US."", "" I'm from the US."", "" I'm from the US."", "" I'm from the US, about 50 kilometers (27 miles) east of Paris."", ' Argentina.', "" I'm from the US.""]",What part of the world are you from?
"["" I'm in Argentina."", "" I'm in Pennsylvania."", "" I'm in Pennsylvania."", "" I'm in Pennsylvania."", ' I am in Colorado.', ' I am in Pennsylvania.', "" I'm from the south east."", "" I'm in Pennsylvania."", ' I am from the US.', "" I'm in Pennsylvania."", "" I'm in Pennsylvania."", "" I'm in Pennsylvania."", "" I'm in Pennsylvania."", "" I'm in Pennsylvania."", "" I'm in Pennsylvania."", "" I'm in Pennsylvania."", "" I'm in Argentina."", "" I'm in Argentina."", "" I'm in Pennsylvania."", "" I'm in Pennsylvania.""]",What part of the world do you live in?
"[' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Texas.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Texas.', ' I live in the USA.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.', ' I live in Alabama.']",Where in the world do you live?
"[' Seattle, originally.', ' Seattle, originally.', ' I live in the southern part of England.', ' London, probably around £2m. ', ' I live in the southeast.', ' Seattle, originally.', ' Seattle, originally.', ' Chicago, originally.', ' I live in the USA.', ' Seattle, originally.', ' Seattle, originally.', ' London.', ' Chicago: i am in Florida.', ' Seattle, originally.', ' Chicago: i am in New York.', ' London, the UK.', ' Seattle, originally.', ' I live in the southern part of England.', ' Seattle, originally.', ' I live in the southern half of England.']",where in the world are you?
"[' Aww, I love him. :)\n\n', ' Aww, I love him. ', '<|startoftext|>Do you have dogs? Yep, I have a rat and I have had people walk by her until she bit her husband and ran away. Haha, is that dog hilarious? Haha yes, its hilarious.<|end', "" No, I don't....her toy is a bull terrier, so I don't have any of that."", ' Aww, I love him. ', ' Aww, I have a ratty little brother.', ' A friend has 3 dogs.', ' A friend has 3 dogs.', ' Yes, I have a Husky and a Beagle.', ' A male and a female, we have a gelding and we have a terrapin.', ' Aww, I love him. ', ' No, but I have 3 dogs and she is 7 and my husband is allergic to most dogs foods.', ' Aww, I love him/her.', ' Yep, she is a Husky/German Shepard mix.', ' Aww, I love him/her.', ' Aww, I got a rat.', '<|startoftext|>Do you have dogs? Aww, I love him. :)\n\n|endoftext|>What about you? I love dogs! :)\n\n|endoftext|>Do you do MTurk full', ' No, but I have 3 dogs.', ' Aww, I like cats. ', ' Aww, I love him. ']",Do you have dogs?
"["" I'm not sure."", "" I'm not a fan of dogs either."", "" I'm not a fan of dogs either."", ' Aww, I love cats. ', ' Aww, I love cats. ', "" I'm not sure."", "" I'm a big fan of dogs."", '<|startoftext|>do you like cats or dogs? I\'m a dog person|>\n<|title>What\'s your favorite piece to play? I aboslutely love jazz so I might have to say ""Beyond the Sea"" although', ' Aww, I love cats.', ' Aww, I love dogs.', ' I love dogs', "" I'm not sure why I think dogs are such a big deal in my head."", "" I'm not really sure."", ' Aww, I love cats.', ' That cat is incredible. ', "" I'm not really sure."", "" I'm not really sure."", "" Aww, I'm a dog person."", "" I'm not really sure. I think I'm more of a cat person than a dog person."", ' Aww, I love cats. ']",do you like cats or dogs?
"[' Yes, i have a rat husband and wife that is also her own worst enemy.', ' I have 3 dogs, his name is terry.', ' No, but I have a foster family.', ' Yes, Husky and Orca, we have 2 puppies', "" Yep, I have a poodle named Jazz and a poodle named Jazz's-a-Mole."", ' Yep, I have a poodle named Cliff.', ' Yeah, my dogs are 9/11 friendly.', ' Yeah, I have a Canine Grand Duke and Granddaughters.', ' I have 3 little dogs.', ' Yep, I have a Retriever and my Dad has him.', ' Yeah, I have a Husky and a Maltese named after me.', "" Yeah, I've been having graphic or fetish stuff with my family."", ' My dog is a German Shepherd named Zoolander.', ' No, but my mom has three dogs.', ' Yeah, 3 year old hers have 3/4 year old and granddaughterss have 1/4 year old.', ' No, but my granddaughters have been harassing me online.', ' No, but my daughter has been giving me directions to dumpster diving.', ' No, but my family. ', ' I have 2 small dogs and her name is Bella. We have not_dog>\n', ' Yeah, I have 3 dogs.']",Do you have any dogs of your own?
